slug,overall_result,total_calls,first_outcome,last_outcome,max_stage_reached,final_stage,regressed_from_peak
clementchadebec/benchmark_VAE,FAIL,29,smoke_failed,build_failed,2,1,True
coleam00/mcp-crawl4ai-rag,SUCCESS,13,build_failed,accepted,3,3,False
commaai/openpilot,SUCCESS,30,build_failed,accepted,3,3,False
commanded/commanded,SUCCESS,6,rejected,accepted,3,3,False
coollabsio/coolify,SUCCESS,21,rejected,accepted,3,3,False
cuemacro/findatapy,SUCCESS,8,smoke_failed,accepted,3,3,False
deepcharles/ruptures,FAIL,32,build_failed,smoke_failed,2,2,False
deepseek-ai/DeepSeek-V2,FAIL,32,smoke_failed,smoke_failed,2,2,False
deepseek-ai/DeepSeek-V3,SUCCESS,36,smoke_failed,accepted,3,3,False
demopark/electron-api-demos-Zh_CN,FAIL,30,build_failed,build_failed,1,1,False
dlt-hub/dlt,FAIL,27,build_failed,smoke_failed,2,2,False
docker-easyconnect/docker-easyconnect,SUCCESS,17,build_failed,accepted,3,3,False
drewm/mailchimp-api,SUCCESS,20,build_failed,accepted,3,3,False
duckdb/duckdb,FAIL,14,build_failed,build_failed,1,1,False
egametang/ET,SUCCESS,11,build_failed,accepted,3,3,False
electric-sql/electric,SUCCESS,6,build_failed,accepted,3,3,False
evanw/esbuild,SUCCESS,2,build_failed,accepted,3,3,False
exelban/stats,SUCCESS,5,smoke_failed,accepted,3,3,False
expressjs/express,SUCCESS,27,smoke_failed,accepted,3,3,False
facebook/create-react-app,SUCCESS,7,build_failed,accepted,3,3,False
facebook/memlab,SUCCESS,7,build_failed,accepted,3,3,False
facebook/react,SUCCESS,65,build_failed,accepted,3,3,False
facebookincubator/spectrum,SUCCESS,14,build_failed,build_failed,1,1,False
facebookresearch/Detic,FAIL,27,rejected,smoke_failed,2,2,False
facebookresearch/faiss,FAIL,30,build_failed,smoke_failed,2,2,False
forkingdog/UITableView-FDTemplateLayoutCell,SUCCESS,3,smoke_failed,accepted,3,3,False
fossasia/badgemagic-app,FAIL,23,build_failed,build_failed,1,1,False
freeCodeCamp/devdocs,SUCCESS,5,build_failed,accepted,3,3,False
freedomofpress/dangerzone,SUCCESS,2,build_failed,accepted,3,3,False
frenck/home-assistant-config,SUCCESS,14,rejected,accepted,3,3,False
glennreyes/graphpack,FAIL,23,build_failed,build_failed,1,1,False
gocircuit/circuit,SUCCESS,8,build_failed,accepted,3,3,False
google/closure-library,SUCCESS,26,rejected,accepted,3,3,False
google/pebble,FAIL,28,build_failed,rejected,2,0,True
googlesamples/easypermissions,SUCCESS,3,smoke_failed,accepted,3,3,False
h2oai/h2o-llmstudio,SUCCESS,10,build_failed,accepted,3,3,False
hacksider/Deep-Live-Cam,SUCCESS,2,smoke_failed,accepted,3,3,False
hakimel/reveal.js,FAIL,8,build_failed,build_failed,1,1,False
halfrost/LeetCode-Go,SUCCESS,6,build_failed,accepted,3,3,False
hbons/SparkleShare,FAIL,15,build_failed,build_failed,1,1,False
huggingface/pytorch-image-models,FAIL,23,rejected,build_failed,2,1,True
hustcc/echarts-for-react,SUCCESS,3,build_failed,accepted,3,3,False
hyperoslo/ImagePicker,SUCCESS,8,build_failed,accepted,3,3,False
iSoron/uhabits,SUCCESS,14,build_failed,build_failed,2,1,True
iamkun/dayjs,SUCCESS,35,build_failed,accepted,3,3,False
iluwatar/java-design-patterns,SUCCESS,9,build_failed,accepted,3,3,False
inbucket/inbucket,SUCCESS,11,build_failed,accepted,3,3,False
inkonchain/node,SUCCESS,6,rejected,accepted,3,3,False
jakevdp/PythonDataScienceHandbook,SUCCESS,22,build_failed,accepted,3,3,False
jgm/pandoc,FAIL,34,build_failed,build_failed,2,1,True
jgthms/bulma,SUCCESS,17,build_failed,accepted,3,3,False
joelgrus/data-science-from-scratch,SUCCESS,2,smoke_failed,accepted,3,3,False
josephg/ShareJS,SUCCESS,19,build_failed,accepted,3,3,False
jschr/bootstrap-modal,SUCCESS,5,rejected,accepted,3,3,False
jsor/jcarousel,SUCCESS,3,build_failed,accepted,3,3,False
junegunn/vim-plug,FAIL,23,smoke_failed,smoke_failed,2,2,False
kmonad/kmonad,SUCCESS,18,build_failed,accepted,3,3,False
koral--/android-gif-drawable,SUCCESS,8,build_failed,build_failed,1,1,False
krahets/hello-algo,SUCCESS,11,build_failed,accepted,3,3,False
levey/AwesomeMenu,SUCCESS,5,rejected,accepted,3,3,False
liuchengxu/vim-which-key,SUCCESS,5,rejected,accepted,3,3,False
lostindark/DriverStoreExplorer,FAIL,2,rejected,rejected,0,0,False
lstrojny/functional-php,SUCCESS,7,smoke_failed,accepted,3,3,False
